CODE_COMMUNE,CODE_EPCI
15037,241501055
15038,241501055
15040,241500255
15041,200066637
15042,200066637
15043,200066637
15045,200066660
15046,241501139
15047,200066637
15048,200066637
15049,241500255
15050,241500255
15051,200066660
15052,241500255
15053,200066660
15054,241500255
15055,200066660
15056,241500230
15057,200066678
15058,241501089
15059,200066660
15060,200066660
15061,200066637
15063,241500271
15064,241501139
15065,200066660
15066,241501139
15067,241501139
15069,200066637
15070,241501139
15072,241501139
15073,200066660
15074,241500230
15075,241501139
15076,200066678
15077,200066660
15078,200066660
15079,241500271
15080,200066637
15081,241501089
15082,200066678
15083,241500230
15084,200066678
15085,241500230
15086,200066660
15087,200066678
15088,241500230
15089,200066678
15090,200066678
15091,200066637
15092,241501055
15093,200066678
15094,200066678
15095,241500230
15096,241500230
15097,200066660
15098,200066637
15100,200066637
15101,200066637
15102,200066637
15103,200066678
15104,200066678
15105,200066637
15106,200066660
15107,200066660
15108,200066660
15110,241500255
15111,241501055
15112,200066660
15113,241500230
15114,200066637
15116,241500255
15117,200066678
15118,241500230
15119,200066637
15120,241500271
15121,200066660
15122,200066678
15123,241500271
15124,241500255
15125,200066660
15126,200066637
15127,200066637
15128,241501055
15129,241500255
15130,200066660
15131,241501055
15132,246300966
15133,200066678
15134,200066678
15135,200066678
15137,241500271
15138,200066637
15139,200066660
15140,241500230
15141,200066637
15142,200066660
15143,200066678
15144,200066678
15146,241501089
15147,200066678
15148,200066660
15149,200066660
15151,200066637
15152,200066660
15153,241501139
15154,241501089
15155,200066637
15156,200066678
15157,200066678
15158,200066637
15159,241501089
15160,241500230
15161,200066660
15162,241500255
15163,200066678
15164,200066660
15165,200066678
15166,200066678
15167,200066678
15168,200066660
15169,241501055
15170,241500255
15171,200066637
15172,200066678
15173,241500255
15174,241501139
15175,241501139
15176,241501139
15178,241500230
15179,241501139
15180,241501089
15181,200066678
15182,200066678
15183,241501089
15184,200066678
15185,241500255
15186,241501139
15187,200066660
15188,200066660
15189,200066678
15190,241500255
15191,241501139
15192,241501089
15194,200066678
15196,200066678
15198,200066660
15199,200066660
15200,241501139
15201,200066660
15202,241501139
15203,200066637
15204,241500230
15205,241501139
15206,241501055
15207,200066637
15208,241501139
15209,200066660
15211,200066678
15212,200066678
15213,200066637
15214,200066678
15215,241500230
15216,200066660
15217,200066678
15218,241501139
15219,241501139
15220,241500271
15221,241500230
15222,200066678
15223,241501055
15224,200066678
15225,200066637
15226,200066678
15228,200066678
15229,200066660
15230,241500271
15231,200066660
15232,200066660
15233,241500230
15234,200066678
15235,200066660
15236,241501089
15237,200066660
15238,241501139
15240,241501055
15241,200066660
15242,200066678
15243,241500255
15244,200066660
15245,200066660
15246,241500255
15247,200066637
15248,200066660
15249,241501139
15250,241501055
15251,200066660
15252,241500230
15253,200066637
15254,241501055
15255,241500230
15256,200066637
15257,241500230
15258,241501089
15259,200066660
15260,200066678
15261,241500271
15262,200066660
15263,200066637
15264,200066678
15265,241501055
15266,241500230
15267,241500230
15268,200066678
15269,241501139
26001,242600534
26002,200040491
26003,242600492
26004,200068781
26005,200040459
26006,242600252
26007,242600252
26008,200040459
26009,200040491
26010,200040491
26011,200040509
26012,242600534
26013,200068229
26014,200073096
26015,200040509
26016,200068229
26017,242600534
26018,200068229
26019,200040509
26020,242600252
26021,242600252
26022,200068229
26023,200068781
26024,200068781
26025,242600534
26026,200068229
26027,242600534
26028,200073096
26030,242600534
26031,200040459
26032,200068781
26033,200042901
26034,200068781
26035,242600252
26036,242600534
26037,200068781
26038,200073096
26039,200068781
26040,242600534
26041,200040491
26042,200068781
26043,200068229
26045,242600492
26046,200068229
26047,242600534
26048,200068229
26049,200068781
26050,200068229
26051,242600492
26052,200040459
26054,200042901
26055,242600534
26056,242600492
26057,200068781
26058,200068781
26059,200067767
26060,242600492
26061,200073096
26062,242600534
26063,200068229
26064,200068781
26065,242600252
26066,200067767
26067,242600534
26068,200068781
26069,242600534
26070,200040681
26071,200073096
26072,200073096
26073,200040681
26074,200067767
26075,200068229
26076,242600534
26077,200073096
26078,200040459
26079,200068781
26080,200040509
26081,200068781
26082,200068229
26083,200040491
26084,200068781
26085,200040459
26086,242600534
26087,200068781
26088,200068781
26089,200068229
26090,200040509
26091,200068229
26092,200073096
26093,200042901
26094,200040491
26095,200040459
26096,200068781
26097,242600252
26098,242600252
26099,200040681
26100,200068781
26101,242600492
26102,200040459
26103,200068229
26104,200068229
26105,200068229
26106,200040459
26107,200068781
26108,200040509
26110,200073096
26111,242600492
26112,200068229
26113,242600534
26114,242600492
26115,242600252
26116,200042901
26117,200067767
26118,200040491
26119,200073096
26121,200040459
26122,200040509
26123,242600534
26124,200068781
26125,242600252
26126,200068229
26127,200068229
26128,242600252
26129,200068781
26130,200068229
26131,242600492
26133,200040491
26134,242600252
26135,200035723
26136,242600534
26137,242600252
26138,200042901
26139,200068781
26140,200068781
26141,242600252
26142,242600534
26143,200040491
26144,242600252
26145,200042901
26146,200040681
