name,lat,lon
Centre médical de l'Argentière,45.68906979989042,4.45615140386144
Polyclinique Lyon-Nord Rillieux,45.82114852220509,4.887049862633093
Centre hospitalier Saint-Jean-de-Dieu,45.72270164302007,4.851558183337184
Centre hospitalier de Rives,45.353641270471456,5.499626018612042
Centre médico-psychologique adultes de l'hôpital de jour,44.93579702707216,4.86277817049494
Hôpital gériatrique Frédéric Dugoujon,45.78646634477134,4.838657090752008
Centre médico-chirurgical,44.90915341799797,2.426858392039482
Hôpitaux Drôme-Nord - Site de Romans,45.041556111672975,5.01958610428281
Clinique La Majolane,45.77051011647004,5.000088759907185
,46.20069994754768,5.233920191148457
Établissement de santé mentale Portes de l'Isère,45.5983122412407,5.248172778377794
Hôpital Fernand Lafont,44.90419158326153,4.421445544848911
Hôpital C.J. Ruivet,45.9063759317818,5.194032447544115
,45.37057577774882,4.811824624832139
Centre hospitalier,45.74049180038082,4.4669212
Centre hospitalier de Saint-Pierre d'Albigny,45.56829032706518,6.153990455017734
Centre hospitalier des Cevennes ardechoises,44.589621200502194,4.1234969
Antenne de périnatalité,45.93510816849197,6.642621504510905
CMP Enfants Vetraz Monthoux,46.18070379869351,6.250885092125437
,45.76779817099302,4.980365966263461
CMPA / CATTPA de Cluse,46.06839744882302,6.581461171186441
Clinique des Cévennes,45.26092924209519,4.669440971208623
Centre hospitalier Gabriel Deplante,45.86459506293668,5.936784678829948
Les Ancolies,45.63404244757114,6.301322715872958
Hopital de jour pour adultes de Sallanches,45.94073850035263,6.634087500000046
Hôpital Le Corbusier,45.387734789961485,4.290136681478401
Centre Médico Psychologique pour Adultes,45.940662600351615,6.6341636
Hôpital privé de l'Est Lyonnais,45.71680308306639,4.926544640700441
Hôpital de Jour Adultes Cassiopée,45.145318400453725,5.706686499999999
Centre hospitalier Georges Claudinon,45.39103371275575,4.321111807769208
Centre hospitalier Alpes-Isère,45.23166778669125,5.674530702104238
Hôpital gériatrique Pierre Garaud,45.74913055400177,4.788045700518873
Hôpital de jour Enfants,45.352552740746056,5.612997116783906
Clinique Convert,46.211005122432105,5.253321168408297
Clinique mutualiste chirurgicale,45.41440401247266,4.394391425427836
Espace Georges Canguilhem,46.1282799473106,3.422553155913997
,45.203174800447584,6.6649954
Centre hospitalier Ain Val de Saône,46.17275287078957,4.804924005619081
Centre hospitalier Alpes Léman,46.14105601167828,6.32040809330656
Hôpital de Fleyriat,46.22415478827009,5.21049851167632
La Tarentelle,45.6630031104064,4.947732461378314
Clinique de la Chavannerie,45.71101469245615,4.754035704921376
Centre hospitalier Henri Mondor,44.92649106375477,2.4358803850273585
Centre médico-chirurgical de réadaptation des Massues,45.76105106751093,4.797094111613565
Hôpital cardio-vasculaire et pneumologique Louis Pradel,45.74785728979417,4.902474437302193
Multipôle de Santé de Montagne,45.61633292385266,6.763815231025621
Centre hospitaliser spécialisé Saint-Cyr,45.81919556101781,4.834178820652348
